Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
West Virginia,5,68.0,Buffalo,12,62.0,West Virginia,True,2015,1
Maryland,4,65.0,Valparaiso,13,62.0,Maryland,True,2015,1
Butler,6,56.0,Texas,11,48.0,Butler,True,2015,1
Notre Dame,3,69.0,Northeastern,14,65.0,Notre Dame,True,2015,1
Wichita State,7,81.0,Indiana,10,76.0,Wichita State,True,2015,1
Kansas,2,75.0,New Mexico State,15,56.0,Kansas,True,2015,1
Wisconsin,1,72.0,Oregon,8,65.0,Wisconsin,True,2015,2
Arkansas,5,78.0,North Carolina,4,87.0,North Carolina,False,2015,2
Xavier,6,75.0,Georgia State,14,67.0,Xavier,True,2015,2
Ohio State,10,58.0,Arizona,2,73.0,Arizona,False,2015,2
Villanova,1,68.0,NC State,8,71.0,North Carolina State,False,2015,2
Northern Iowa,5,53.0,Louisville,4,66.0,Louisville,False,2015,2
Dayton,11,66.0,Oklahoma,3,72.0,Oklahoma,False,2015,2
Michigan State,7,60.0,Virginia,2,54.0,Michigan State,True,2015,2
Duke,1,68.0,San Diego State,8,49.0,Duke,True,2015,2
Utah,5,75.0,Georgetown,4,64.0,Utah,True,2015,2
UCLA,11,92.0,UAB,14,75.0,UCLA,True,2015,2
Iowa,7,68.0,Gonzaga,2,87.0,Gonzaga,False,2015,2
Kentucky,1,64.0,Cincinnati,8,51.0,Kentucky,True,2015,2
West Virginia,5,69.0,Maryland,4,59.0,West Virginia,True,2015,2
Butler,6,64.0,Notre Dame,3,67.0,Notre Dame,False,2015,2
Wichita State,7,78.0,Kansas,2,65.0,Wichita State,True,2015,2
Wisconsin,1,79.0,North Carolina,4,72.0,Wisconsin,True,2015,3
Xavier,6,60.0,Arizona,2,68.0,Arizona,False,2015,3
NC State,8,65.0,Louisville,4,75.0,Louisville,False,2015,3
Oklahoma,3,58.0,Michigan State,7,62.0,Michigan State,False,2015,3
Duke,1,63.0,Utah,5,57.0,Duke,True,2015,3
UCLA,11,62.0,Gonzaga,2,74.0,Gonzaga,False,2015,3
Kentucky,1,78.0,West Virginia,5,39.0,Kentucky,True,2015,3
Notre Dame,3,81.0,Wichita State,7,70.0,Notre Dame,True,2015,3
Wisconsin,1,85.0,Arizona,2,78.0,Wisconsin,True,2015,4
Louisville,4,70.0,Michigan State,7,76.0,Michigan State,False,2015,4
Duke,1,66.0,Gonzaga,2,52.0,Duke,True,2015,4
